record_time_tag_int,items_2_3_packed,observable_int,observable_frac,items_6_14_packed,items_15_19_packed,items_20_22_packed
1812104983,b'',-46,-204542159,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812104993,b'',-43,-121774672,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105003,b'',-40,-34771918,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105013,b'',-36,-935664176,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105023,b'',-33,-824069022,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105033,b'',-30,-705025672,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105043,b'',-27,-575069426,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105053,b'',-24,-438956260,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105063,b'',-21,-292895316,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105073,b'',-18,-134722709,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105083,b'',-14,-968214988,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105093,b'',-11,-792778014,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105103,b'',-8,-615382194,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105113,b'',-5,-793525695,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105123,b'',-3,-155080794,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
1812105133,b'',0,-505790709,b'O\xdf\x86T',"b'\x02vF\x87-,\xfe8'",b'\x00\x00\x00\x00\xfa'
